datetime,open,high,low,close
2021-01-01,1.344655,1.344655,1.344655,1.344655
2021-01-03,1.36579,1.36835,1.36558,1.36809
2021-01-04,1.36821,1.38398,1.334765,1.35713
2021-01-05,1.35712,1.36411,1.3375,1.36271
2021-01-06,1.36271,1.36708,1.33656,1.3624
2021-01-07,1.36241,1.36333,1.33442,1.3569
2021-01-08,1.35677,1.36358,1.35395,1.35656
2021-01-10,1.334395,1.35679,1.33435,1.35191
2021-01-11,1.35191,1.3535,1.33192,1.35236
2021-01-12,1.35243,1.367,1.33941,1.36675
2021-01-13,1.36677,1.388085,1.33805,1.36477
2021-01-14,1.36474,1.37093,1.36167,1.36831
2021-01-15,1.36825,1.36981,1.35729,1.35836
2021-01-17,1.35887,1.35986,1.35699,1.35699
2021-01-18,1.35707,1.35897,1.35205,1.35823
2021-01-19,1.35827,1.3647,1.35818,1.36436
2021-01-20,1.36436,1.37165,1.36241,1.36673
2021-01-21,1.36668,1.37458,1.36595,1.37288
2021-01-22,1.37288,1.37359,1.36373,1.3683
2021-01-24,1.36838,1.36912,1.36788,1.36857
2021-01-25,1.36857,1.37233,1.36493,1.36768
2021-01-26,1.36768,1.37443,1.36103,1.37412
2021-01-27,1.37414,1.37589,1.36598,1.36709
2021-01-28,1.36713,1.37457,1.36308,1.37247
2021-01-29,1.37247,1.37513,1.36632,1.37019
2021-01-31,1.37053,1.37077,1.36948,1.36977
2021-02-01,1.36977,1.37579,1.36572,1.36759
2021-02-02,1.36751,1.37104,1.36122,1.36593
2021-02-03,1.36593,1.38643,1.36196,1.36498
2021-02-04,1.36498,1.36976,1.35669,1.36722
2021-02-05,1.36722,1.374,1.36666,1.37359
2021-02-07,1.37282,1.374,1.37255,1.37381
2021-02-08,1.37381,1.37575,1.36822,1.37564
2021-02-09,1.3757,1.38202,1.37489,1.38156
2021-02-10,1.38157,1.38662,1.38027,1.38308
2021-02-11,1.38309,1.3831,1.38016,1.38114
2021-02-12,1.38115,1.38626,1.37759,1.38533
2021-02-14,1.38534,1.3871,1.38508,1.38691
2021-02-15,1.38692,1.39192,1.38658,1.39141
2021-02-16,1.3914,1.39518,1.38694,1.38854
2021-02-17,1.38853,1.39039,1.38297,1.38662
2021-02-18,1.38661,1.39862,1.38399,1.39675
